NODE_ID,PAGE_RANK
237,1.4800599836310694e-06
241,1.6940353284853036e-05
242,3.1953296633415893e-05
245,1.795796432933914e-05
2296,3.814967991905422e-06
249,9.576881501591425e-06
4348,2.984663033735425e-06
2303,1.4800599836310694e-06
256,2.8936651612714267e-06
2305,3.741990932585213e-05
4354,2.8332430770417597e-06
4353,1.4800599836310694e-06
257,1.7087583459354328e-05
4356,2.984663033735425e-06
2311,1.4800599836310694e-06
2313,5.0173842490746135e-05
4365,1.4800599836310694e-06
270,3.195329663341581e-05
4367,1.4800599836310694e-06
4369,1.4800599836310694e-06
278,2.8936651612714267e-06
279,1.4800599836310694e-06
280,3.1953296633415846e-05
283,5.324229515294163e-06
284,4.023551387086693e-06
2342,3.1953296633415805e-05
2344,1.4800599836310694e-06
4393,4.18642617045245e-06
2347,1.3442430285616991e-05
300,3.1953296633415785e-05
4395,3.195329663341586e-05
4396,3.195329663341592e-05
2349,1.3020803564366659e-05
304,1.2567109536206511e-05
4400,4.644049154862534e-06
309,2.5058941811221925e-06
313,1.4800599836310694e-06
4415,1.4800599836310694e-06
2370,3.195329663341588e-05
4421,1.4800599836310694e-06
2377,3.3392529929142026e-05
330,1.4800599836310694e-06
340,1.4800599836310694e-06
2388,3.622466666885784e-06
342,5.738500607043553e-06
353,1.4800599836310694e-06
2404,2.8936651612714267e-06
2409,1.4800599836310694e-06
361,9.154803394727289e-05
363,4.158956264865548e-06
4458,1.4800599836310694e-06
2419,1.8334612780411586e-06
2427,2.893665161271427e-06
4482,2.8936651612714267e-06
2437,2.8936651612714267e-06
2438,1.3317674177007936e-05
395,4.457110763155839e-06
397,1.4800599836310694e-06
2451,1.4800599836310694e-06
4499,9.920845312756121e-06
410,1.4800599836310694e-06
415,1.375754915780259e-05
418,3.1953296633415866e-05
4515,3.801414374213689e-06
2470,1.4800599836310694e-06
4519,1.4800599836310694e-06
2472,1.4800599836310694e-06
425,7.506841161211737e-06
4521,1.4800599836310694e-06
4522,1.715660846571129e-06
4524,1.4800599836310694e-06
4531,1.4800599836310694e-06
2484,2.8936651612714267e-06
2485,9.262443692466665e-06
2495,3.1953296633415866e-05
448,2.8658058455653823e-06
4546,3.5898959270095557e-06
451,3.1953296633415805e-05
2498,8.210310653556652e-06
4549,1.4800599836310694e-06
4553,1.4800599836310694e-06
2507,1.4800599836310694e-06
4559,4.3072703389117835e-06
2512,1.4800599836310694e-06
465,5.324229515294153e-06
468,1.4800599836310694e-06
2516,1.4800599836310694e-06
4569,2.186862572451248e-06
2523,1.4800599836310694e-06
475,2.023365651306946e-06
4573,1.4800599836310694e-06
481,1.294883830803757e-05
4579,1.4800599836310694e-06
484,2.893665161271426e-06
486,1.4800599836310694e-06
489,3.1953296633415934e-05
490,3.141577528405897e-06
492,6.144725866491596e-06
2540,1.4800599836310694e-06
4590,1.4800599836310694e-06
4591,1.4800599836310694e-06
4592,1.4800599836310694e-06
493,1.7769305962723464e-06
4594,1.4800599836310694e-06
499,3.1953296633415826e-05
500,7.676075354902469e-06
2549,1.4800599836310694e-06
2543,2.893665161271427e-06
2548,3.5304735974893294e-06
4604,2.893665161271427e-06
4609,1.4800599836310694e-06
4611,9.226263899916503e-06
4612,1.4800599836310694e-06
518,3.1953296633415785e-05
2567,6.270647798670046e-05
520,1.4800599836310694e-06
2566,3.1380222303196e-05
2568,6.271966290992058e-05
2569,1.4800599836310694e-06
4615,1.4800599836310694e-06
2570,2.1168684198489717e-06
2574,4.638483759587349e-06
523,2.893665161271427e-06
2571,2.7536768560668736e-06
529,3.195329663341584e-05
530,2.1868625724512483e-06
533,1.4800599836310694e-06
534,2.8043894782015175e-06
4631,1.4800599836310694e-06
535,1.7769305962723464e-06
2585,2.186862572451248e-06
537,4.718793397412669e-06
4635,6.76445692132307e-06
540,3.412701809264226e-06
4639,2.8043894782015163e-06
2592,1.4800599836310694e-06
545,2.8936651612714267e-06
546,4.217994655841873e-06
547,3.195329663341584e-05
548,2.375360667403041e-06
4646,1.9512617095111884e-06
4649,1.767002961265783e-05
2601,2.186862572451248e-06
2603,1.4800599836310694e-06
554,2.893665161271427e-06
4654,1.715660846571129e-06
4659,5.691240116218906e-06
4661,2.2618794232435604e-06
566,2.8936651612714263e-06
4662,1.9512617095111884e-06
2616,1.4800599836310694e-06
4664,1.4800599836310694e-06
570,3.1953296633415866e-05
571,3.195329663341581e-05
4668,2.026278560303501e-06
4663,1.9512617095111884e-06
2622,2.524438401016655e-06
4666,1.715660846571129e-06
576,1.4800599836310694e-06
2625,3.259152204503e-05
4667,2.026278560303501e-06
2623,4.935693684349763e-06
2628,3.3332362721438745e-06
581,1.4800599836310694e-06
4669,2.4477462857795134e-06
2631,3.3332362721438745e-06
2632,2.6906894156040037e-06
585,1.4800599836310694e-06
4681,1.4800599836310694e-06
2635,2.95332263792696e-05
588,1.4800599836310694e-06
2637,1.4800599836310694e-06
4680,1.4800599836310694e-06
2633,3.3533741023815564e-06
2634,2.1168684198489717e-06
587,2.8936651612714267e-06
2642,6.411349334141018e-05
593,2.8620142295820613e-06
2644,1.4800599836310694e-06
4694,6.39905354463579e-06
2647,4.5477386035305933e-05
602,1.4800599836310694e-06
4698,1.4800599836310694e-06
